Submission ID,Common Name,Scientific Name,Taxonomic Order,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Number of Observers
S281346134,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-25,17:06:00 ,eBird - Traveling Count,2
S314159734,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,US-TX,Montgomery,L129118,W.G. Jones State Forest (UTC 036),30.235563,-95.4852676,2026-03-28,17:57:00 ,eBird - Traveling Count,2
S289207764,Trumpeter Swan,Cygnus buccinator,382,US-WA,Clark,L3402877,Salmon Creek Greenway Trail,45.7122376,-122.6851518,2025-12-19,8:59:00 ,eBird - Traveling Count,2
S296601317,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),446,US-TX,Montgomery,L57722940,Hughes Landing,30.170749,-95.470512,2026-01-17,12:00:00 ,Historical,2
S314516825,Wood Duck,Aix sponsa,455,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-29,14:45:00 ,eBird - Traveling Count,2
S312570745,Blue-winged Teal,Spatula discors,485,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-23,18:35:00 ,eBird - Traveling Count,1
S289207764,Mallard,Anas platyrhynchos,545,US-WA,Clark,L3402877,Salmon Creek Greenway Trail,45.7122376,-122.6851518,2025-12-19,8:59:00 ,eBird - Traveling Count,2
S296601317,Mallard,Anas platyrhynchos,545,US-TX,Montgomery,L57722940,Hughes Landing,30.170749,-95.470512,2026-01-17,12:00:00 ,Historical,2
S314516825,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-29,14:45:00 ,eBird - Traveling Count,2
S300057008,White-winged Dove,Zenaida asiatica,2389,US-TX,Bexar,L614722,San Pedro Springs Park (HOTE 094),29.4467731,-98.5014868,2026-02-13,10:57:00 ,eBird - Traveling Count,2
S281346134,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-25,17:06:00 ,eBird - Traveling Count,2
S281477423,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-26,9:24:00 ,eBird - Traveling Count,2
S312570745,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-23,18:35:00 ,eBird - Traveling Count,1
S312854498,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-24,18:13:00 ,eBird - Traveling Count,1
S318119395,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-30,18:00:00 ,eBird - Traveling Count,1
S318119348,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-31,17:40:00 ,eBird - Traveling Count,1
S318119330,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-04-06,18:01:00 ,eBird - Traveling Count,1
S272316146,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51840759,Home (private),29.932839,-95.277147,2025-09-08,18:18:00 ,eBird - Stationary Count,1
S292237383,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L54503706,Fall Creek Sports Complex,29.924665,-95.239595,2026-01-03,16:19:00 ,eBird - Traveling Count,2
S269094797,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-08-23,18:22:00 ,eBird - Traveling Count,2
S279245275,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-13,18:30:00 ,eBird - Traveling Count,1
S292688844,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-01-05,16:57:00 ,eBird - Traveling Count,1
S298682402,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-02-07,12:05:00 ,eBird - Traveling Count,2
S312570745,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-23,18:35:00 ,eBird - Traveling Count,1
S312854498,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-24,18:13:00 ,eBird - Traveling Count,1
S318119395,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-30,18:00:00 ,eBird - Traveling Count,1
S318119363,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-30,18:41:00 ,eBird - Traveling Count,1
S318119348,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-31,17:40:00 ,eBird - Traveling Count,1
S318119330,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-04-06,18:01:00 ,eBird - Traveling Count,1
S268666709,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51840759,Home (private),29.932839,-95.277147,2025-08-21,18:35:00 ,eBird - Stationary Count,1
S272316146,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51840759,Home (private),29.932839,-95.277147,2025-09-08,18:18:00 ,eBird - Stationary Count,1
S273078629,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51840759,Home (private),29.932839,-95.277147,2025-09-13,7:32:00 ,eBird - Stationary Count,1
S309883569,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2026-03-15,11:22:00 ,eBird - Traveling Count,2
S311655274,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2026-03-21,10:38:00 ,eBird - Traveling Count,2
S272084069,Mourning Dove,Zenaida macroura,2412,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2025-09-07,12:43:00 ,eBird - Traveling Count,2
S313767068,Mourning Dove,Zenaida macroura,2412,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-27,18:31:00 ,eBird - Traveling Count,2
S314516825,Mourning Dove,Zenaida macroura,2412,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-29,14:45:00 ,eBird - Traveling Count,2
S314159734,Mourning Dove,Zenaida macroura,2412,US-TX,Montgomery,L129118,W.G. Jones State Forest (UTC 036),30.235563,-95.4852676,2026-03-28,17:57:00 ,eBird - Traveling Count,2
S296601317,American Coot,Fulica americana,5500,US-TX,Montgomery,L57722940,Hughes Landing,30.170749,-95.470512,2026-01-17,12:00:00 ,Historical,2
S296601317,Double-crested Cormorant,Nannopterum auritum,7424,US-TX,Montgomery,L57722940,Hughes Landing,30.170749,-95.470512,2026-01-17,12:00:00 ,Historical,2
S298917800,White Ibis,Eudocimus albus,7462,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-02-08,10:30:00 ,eBird - Stationary Count,2
S314843167,Yellow-crowned Night Heron,Nyctanassa violacea,7591,US-TX,Harris,L52026897,Aria Signs (private),29.926009,-95.368466,2026-03-30,13:25:00 ,eBird - Casual Observation,1
S318472448,Yellow-crowned Night Heron,Nyctanassa violacea,7591,US-TX,Harris,L52026897,Aria Signs (private),29.926009,-95.368466,2026-04-07,7:45:00 ,eBird - Casual Observation,1
S269003690,Green Heron,Butorides virescens,7704,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2025-08-23,10:07:00 ,eBird - Traveling Count,2
S318119330,Western Cattle-Egret,Ardea ibis,7724,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-04-06,18:01:00 ,eBird - Traveling Count,1
S314516825,Western Cattle-Egret,Ardea ibis,7724,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-29,14:45:00 ,eBird - Traveling Count,2
S296601317,Great Egret,Ardea alba,7729,US-TX,Montgomery,L57722940,Hughes Landing,30.170749,-95.470512,2026-01-17,12:00:00 ,Historical,2
S289207764,Great Blue Heron,Ardea herodias,7753,US-WA,Clark,L3402877,Salmon Creek Greenway Trail,45.7122376,-122.6851518,2025-12-19,8:59:00 ,eBird - Traveling Count,2
S312570745,Great Blue Heron,Ardea herodias,7753,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-23,18:35:00 ,eBird - Traveling Count,1
S312854498,Great Blue Heron,Ardea herodias,7753,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-24,18:13:00 ,eBird - Traveling Count,1
S311655274,Great Blue Heron,Ardea herodias,7753,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2026-03-21,10:38:00 ,eBird - Traveling Count,2
S272084069,Great Blue Heron,Ardea herodias,7753,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2025-09-07,12:43:00 ,eBird - Traveling Count,2
S314159734,Great Blue Heron,Ardea herodias,7753,US-TX,Montgomery,L129118,W.G. Jones State Forest (UTC 036),30.235563,-95.4852676,2026-03-28,17:57:00 ,eBird - Traveling Count,2
S296601317,American White Pelican,Pelecanus erythrorhynchos,7791,US-TX,Montgomery,L57722940,Hughes Landing,30.170749,-95.470512,2026-01-17,12:00:00 ,Historical,2
S281477423,Black Vulture,Coragyps atratus,7811,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-26,9:24:00 ,eBird - Traveling Count,2
S298682402,Black Vulture,Coragyps atratus,7811,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-02-07,12:05:00 ,eBird - Traveling Count,2
S318119363,Black Vulture,Coragyps atratus,7811,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-30,18:41:00 ,eBird - Traveling Count,1
S272084069,Black Vulture,Coragyps atratus,7811,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2025-09-07,12:43:00 ,eBird - Traveling Count,2
S312854498,Turkey Vulture,Cathartes aura,7815,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-24,18:13:00 ,eBird - Traveling Count,1
S281346134,Cooper's Hawk,Astur cooperii,8278,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-25,17:06:00 ,eBird - Traveling Count,2
S302546158,Bald Eagle,Haliaeetus leucocephalus,8367,US-TX,Harris,L58916753,"12301–12331 John F Kennedy Blvd, Houston US-TX 29.90253, -95.33249",29.902526,-95.332492,2026-02-20,17:55:00 ,eBird - Casual Observation,1
S276172030,Mississippi Kite,Ictinia mississippiensis,8388,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-09-28,17:12:00 ,eBird - Traveling Count,2
S300057008,Red-shouldered Hawk,Buteo lineatus,8487,US-TX,Bexar,L614722,San Pedro Springs Park (HOTE 094),29.4467731,-98.5014868,2026-02-13,10:57:00 ,eBird - Traveling Count,2
S292237383,Red-shouldered Hawk,Buteo lineatus,8487,US-TX,Harris,L54503706,Fall Creek Sports Complex,29.924665,-95.239595,2026-01-03,16:19:00 ,eBird - Traveling Count,2
S298682402,Red-shouldered Hawk,Buteo lineatus,8487,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-02-07,12:05:00 ,eBird - Traveling Count,2
S312854498,Red-shouldered Hawk,Buteo lineatus,8487,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-24,18:13:00 ,eBird - Traveling Count,1
S314159734,Red-shouldered Hawk,Buteo lineatus,8487,US-TX,Montgomery,L129118,W.G. Jones State Forest (UTC 036),30.235563,-95.4852676,2026-03-28,17:57:00 ,eBird - Traveling Count,2
S314158536,Barred Owl,Strix varia,9219,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-28,20:42:00 ,eBird - Casual Observation,2
S286423340,Belted Kingfisher,Megaceryle alcyon,10306,US-TX,Bandera,L55523150,Pipe Creek (Private),29.698248,-98.973629,2025-11-27,15:00:00 ,eBird - Stationary Count,2
S286423340,Yellow-bellied Sapsucker,Sphyrapicus varius,11126,US-TX,Bandera,L55523150,Pipe Creek (Private),29.698248,-98.973629,2025-11-27,15:00:00 ,eBird - Stationary Count,2
S282851268,Yellow-bellied Sapsucker,Sphyrapicus varius,11126,US-TX,Harris,L51840759,Home (private),29.932839,-95.277147,2025-11-04,8:10:00 ,eBird - Casual Observation,1
S269003690,Red-headed Woodpecker,Melanerpes erythrocephalus,11145,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2025-08-23,10:07:00 ,eBird - Traveling Count,2
S300057008,Golden-fronted Woodpecker,Melanerpes aurifrons,11183,US-TX,Bexar,L614722,San Pedro Springs Park (HOTE 094),29.4467731,-98.5014868,2026-02-13,10:57:00 ,eBird - Traveling Count,2
S312570745,Red-bellied Woodpecker,Melanerpes carolinus,11199,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-23,18:35:00 ,eBird - Traveling Count,1
S312854498,Red-bellied Woodpecker,Melanerpes carolinus,11199,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-24,18:13:00 ,eBird - Traveling Count,1
S318119395,Red-bellied Woodpecker,Melanerpes carolinus,11199,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-30,18:00:00 ,eBird - Traveling Count,1
S318119348,Red-bellied Woodpecker,Melanerpes carolinus,11199,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-31,17:40:00 ,eBird - Traveling Count,1
S318119330,Red-bellied Woodpecker,Melanerpes carolinus,11199,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-04-06,18:01:00 ,eBird - Traveling Count,1
S309883569,Red-bellied Woodpecker,Melanerpes carolinus,11199,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2026-03-15,11:22:00 ,eBird - Traveling Count,2
S312570745,Downy Woodpecker,Dryobates pubescens,11400,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-23,18:35:00 ,eBird - Traveling Count,1
S311655274,Downy Woodpecker,Dryobates pubescens,11400,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2026-03-21,10:38:00 ,eBird - Traveling Count,2
S314159734,Downy Woodpecker,Dryobates pubescens,11400,US-TX,Montgomery,L129118,W.G. Jones State Forest (UTC 036),30.235563,-95.4852676,2026-03-28,17:57:00 ,eBird - Traveling Count,2
S269003690,Pileated Woodpecker,Dryocopus pileatus,11762,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2025-08-23,10:07:00 ,eBird - Traveling Count,2
S314516825,Pileated Woodpecker,Dryocopus pileatus,11762,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-29,14:45:00 ,eBird - Traveling Count,2
S314159734,Pileated Woodpecker,Dryocopus pileatus,11762,US-TX,Montgomery,L129118,W.G. Jones State Forest (UTC 036),30.235563,-95.4852676,2026-03-28,17:57:00 ,eBird - Traveling Count,2
S286423340,Eastern Phoebe,Sayornis phoebe,17007,US-TX,Bandera,L55523150,Pipe Creek (Private),29.698248,-98.973629,2025-11-27,15:00:00 ,eBird - Stationary Count,2
S292237383,Eastern Phoebe,Sayornis phoebe,17007,US-TX,Harris,L54503706,Fall Creek Sports Complex,29.924665,-95.239595,2026-01-03,16:19:00 ,eBird - Traveling Count,2
S311655274,White-eyed Vireo,Vireo griseus,19165,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2026-03-21,10:38:00 ,eBird - Traveling Count,2
S314516825,White-eyed Vireo,Vireo griseus,19165,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-29,14:45:00 ,eBird - Traveling Count,2
S314159734,White-eyed Vireo,Vireo griseus,19165,US-TX,Montgomery,L129118,W.G. Jones State Forest (UTC 036),30.235563,-95.4852676,2026-03-28,17:57:00 ,eBird - Traveling Count,2
S311655274,Blue-headed Vireo,Vireo solitarius,19226,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2026-03-21,10:38:00 ,eBird - Traveling Count,2
S289207764,Steller's Jay,Cyanocitta stelleri,21274,US-WA,Clark,L3402877,Salmon Creek Greenway Trail,45.7122376,-122.6851518,2025-12-19,8:59:00 ,eBird - Traveling Count,2
S300057008,Blue Jay,Cyanocitta cristata,21294,US-TX,Bexar,L614722,San Pedro Springs Park (HOTE 094),29.4467731,-98.5014868,2026-02-13,10:57:00 ,eBird - Traveling Count,2
S292777369,Blue Jay,Cyanocitta cristata,21294,US-TX,Harris,L52026897,Aria Signs (private),29.926009,-95.368466,2026-01-06,9:22:00 ,eBird - Casual Observation,1
S292237383,Blue Jay,Cyanocitta cristata,21294,US-TX,Harris,L54503706,Fall Creek Sports Complex,29.924665,-95.239595,2026-01-03,16:19:00 ,eBird - Traveling Count,2
S307364174,Blue Jay,Cyanocitta cristata,21294,US-TX,Harris,L54503706,Fall Creek Sports Complex,29.924665,-95.239595,2026-03-08,14:34:00 ,eBird - Traveling Count,2
S269094797,Blue Jay,Cyanocitta cristata,21294,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-08-23,18:22:00 ,eBird - Traveling Count,2
S279245275,Blue Jay,Cyanocitta cristata,21294,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-13,18:30:00 ,eBird - Traveling Count,1
